#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
23.044000000000	-0.66648268751433	0.24713587259740
23.050000000000	-0.66528157340936	0.25071510274233
23.056000000000	-0.66406147655872	0.25428750355414
23.062000000000	-0.66282244106825	0.25785297707529
23.068000000000	-0.66156451152155	0.26141142565595
23.074000000000	-0.66028773297777	0.26496275195598
23.080000000000	-0.65899215096942	0.26850685894686
23.086000000000	-0.65767781150015	0.27204364991359
23.092000000000	-0.65634476104260	0.27557302845661
23.098000000000	-0.65499304653612	0.27909489849365
23.104000000000	-0.65362271538465	0.28260916426164
23.110000000000	-0.65223381545443	0.28611573031855
23.116000000000	-0.65082639507186	0.28961450154524
23.122000000000	-0.64940050302122	0.29310538314729
23.128000000000	-0.64795618854252	0.29658828065680
23.134000000000	-0.64649350132924	0.30006309993424
23.140000000000	-0.64501249152613	0.30352974717020
23.146000000000	-0.64351320972698	0.30698812888715
23.152000000000	-0.64199570697239	0.31043815194126
23.158000000000	-0.64046003474758	0.31387972352412
23.164000000000	-0.63890624498012	0.31731275116446
23.170000000000	-0.63733439003772	0.32073714272990
23.176000000000	-0.63574452272603	0.32415280642863
23.182000000000	-0.63413669628633	0.32755965081117
23.188000000000	-0.63251096439340	0.33095758477198
23.194000000000	-0.63086738115320	0.33434651755117
23.200000000000	-0.62920600110066	0.33772635873615
23.206000000000	-0.62752687919748	0.34109701826328
23.212000000000	-0.62583007082981	0.34445840641951
23.218000000000	-0.62411563180609	0.34781043384398
23.224000000000	-0.62238361835477	0.35115301152966
23.230000000000	-0.62063408712206	0.35448605082488
